id,quality_grade,url,image_url,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
282917473,research,https://www.inaturalist.org/observations/282917473,https://inaturalist-open-data.s3.amazonaws.com/photos/508324824/medium.jpg,Dryad's Saddle,Cerioporus squamosus,Dryad's Saddle,Fungi,940028
284935733,research,https://www.inaturalist.org/observations/284935733,https://static.inaturalist.org/photos/512128089/medium.jpg,Gemeiner Schneeball,Viburnum opulus,guelder-rose,Plantae,55969
284938885,research,https://www.inaturalist.org/observations/284938885,https://inaturalist-open-data.s3.amazonaws.com/photos/512130284/medium.jpg,Large Lace-border Moth,Scopula limboundata,Large Lace-border Moth,Insecta,81680
284937567,research,https://www.inaturalist.org/observations/284937567,https://inaturalist-open-data.s3.amazonaws.com/photos/512128721/medium.jpg,Red-breasted Merganser,Mergus serrator,Red-breasted Merganser,Aves,6996
284933542,research,https://www.inaturalist.org/observations/284933542,https://inaturalist-open-data.s3.amazonaws.com/photos/512119771/medium.jpg,Zulu Giant,Stapelia gigantea,Zulu Giant,Plantae,54990
284889574,research,https://www.inaturalist.org/observations/284889574,https://static.inaturalist.org/photos/512034825/medium.jpg,Weinbergschnecke,Helix pomatia,Roman Snail,Mollusca,61523
284960801,research,https://www.inaturalist.org/observations/284960801,https://inaturalist-open-data.s3.amazonaws.com/photos/512162377/medium.jpg,Scorpion's-tail,Heliotropium angiospermum,Scorpion's-tail,Plantae,48895
284931393,research,https://www.inaturalist.org/observations/284931393,https://inaturalist-open-data.s3.amazonaws.com/photos/512113577/medium.jpg,Horned Nudibranch,Hermissenda crassicornis,Horned Nudibranch,Mollusca,495552
284948764,research,https://www.inaturalist.org/observations/284948764,https://inaturalist-open-data.s3.amazonaws.com/photos/512006895/medium.jpg,Large Maple Spanworm Moth,Prochoerodes lineola,Large Maple Spanworm Moth,Insecta,143518
277541743,research,https://www.inaturalist.org/observations/277541743,https://inaturalist-open-data.s3.amazonaws.com/photos/498351387/medium.jpg,Shovel-headed Garden Worm,Bipalium kewense,Shovel-headed Garden Worm,Animalia,64221
284962400,research,https://www.inaturalist.org/observations/284962400,https://inaturalist-open-data.s3.amazonaws.com/photos/512174054/medium.jpg,Common Box Turtle,Terrapene carolina,Common Box Turtle,Reptilia,39814
284879977,research,https://www.inaturalist.org/observations/284879977,https://inaturalist-open-data.s3.amazonaws.com/photos/512017958/medium.jpg,Gefleckte Schnirkelschnecke,Arianta arbustorum,Copse Snail,Mollusca,55617
